ListingID,Neighborhood,PropertyType,Condition,SqFt,LotSqFt,Beds,Baths,YearBuilt,DistanceToCityMiles,SchoolRating,CrimeIndex,MortgageRatePct,TotalRooms,OnlineEstimateUSD,SalePriceUSD,PostSaleAppraisalUSD
500001,Rural,House,Good,2216,9938,3,2.5,1956,14.19,4.8,48.5,6.36,9.5,487927.0,490004.0,459168.0
500002,University,House,Good,3028,5609,4,2.0,2022,9.43,7.6,38.4,4.97,8.0,738356.0,786742.0,788502.0
500003,Rural,Townhome,Good,2035,5331,3,2.5,2008,8.75,6.0,33.5,7.35,7.5,477247.0,467777.0,483201.0
500004,Suburb,Condo,,2642,8452,2,2.5,1986,21.96,6.6,39.5,6.27,8.5,644423.0,667625.0,677707.0
500005,Suburb,Condo,Good,1182,13430,1,3.5,2011,0.3,6.8,36.6,5.96,6.5,466989.0,463497.0,473091.0
500006,University,House,Fair,945,7123,3,2.5,1998,4.89,8.1,47.8,6.63,8.5,339058.0,396592.0,391508.0
500007,Downtown,House,Good,2777,8950,3,2.0,1989,0.3,8.0,47.3,6.52,10.0,741734.0,798362.0,803786.0
500008,University,Townhome,Fair,2809,6315,3,3.0,1970,7.07,9.5,43.6,5.53,9.0,655702.0,679100.0,674219.0
500009,University,House,Excellent,2182,5171,3,2.0,1963,7.57,7.2,44.8,7.19,7.0,498906.0,526932.0,525650.0
500010,Suburb,House,Excellent,1997,3752,3,2.0,2002,31.58,6.3,47.3,6.09,10.0,442193.0,461597.0,460203.0
500011,Suburb,Condo,Good,1958,7581,4,4.0,1960,10.99,6.3,67.4,5.19,12.0,572743.0,493488.0,454374.0
500012,Suburb,Condo,Good,1403,5429,3,1.5,2005,19.6,7.9,62.2,7.06,8.5,403309.0,401766.0,412206.0
500013,Suburb,Condo,Good,2850,5616,3,2.0,1979,16.65,9.2,36.5,7.14,7.0,596852.0,597735.0,602755.0
500014,Suburb,House,Good,2278,11355,2,2.0,1995,6.31,7.5,50.9,6.97,9.0,553302.0,596182.0,605672.0
500015,Suburb,House,Good,2179,,3,1.5,1952,11.78,6.2,40.1,6.55,9.5,618167.0,576564.0,565348.0
500016,Suburb,House,Excellent,,10956,3,1.0,2015,18.85,7.4,43.4,5.7,6.0,680827.0,598226.0,605998.0
500017,Waterfront,Condo,Good,2531,2525,2,3.0,1999,9.96,7.4,41.3,6.78,9.0,816988.0,859923.0,865247.0
500018,University,Townhome,Good,2178,9087,2,1.5,1985,10.17,7.0,35.8,7.33,6.5,521933.0,585381.0,559352.0
500019,Rural,House,Excellent,2334,4563,3,1.5,1989,11.92,6.0,25.1,6.71,6.5,520852.0,499392.0,478789.0
500020,Waterfront,Condo,Good,1090,4002,4,2.0,1951,0.3,3.4,9.2,7.18,10.0,487863.0,496489.0,496857.0
500021,Suburb,House,Excellent,2182,3898,3,1.5,2014,4.1,6.2,47.7,5.77,8.5,512789.0,622256.0,614349.0
500022,Downtown,House,Fair,3272,13445,5,1.5,2019,10.93,8.5,61.9,6.83,10.5,808536.0,892175.0,891746.0
500023,Rural,House,Good,1513,10682,3,2.5,2023,12.17,7.3,31.7,6.79,9.5,439293.0,428897.0,421270.0
500024,Downtown,House,Excellent,1766,4228,3,4.0,1993,3.47,3.9,52.1,5.35,12.0,652577.0,693957.0,710997.0
500025,Downtown,House,Excellent,2430,3285,2,2.5,2018,7.01,7.0,39.2,5.27,6.5,919136.0,889601.0,867420.0
500026,Suburb,House,Excellent,2472,6554,3,3.0,1996,8.2,4.4,48.8,5.8,9.0,678455.0,680831.0,664849.0
500027,Suburb,Condo,Good,2256,4934,5,1.0,2025,8.03,9.8,33.1,6.28,10.0,607595.0,665973.0,654456.0
500028,University,House,Excellent,799,17594,4,2.0,1995,13.05,7.3,41.4,6.5,11.0,442659.0,425016.0,409007.0
500029,Rural,Condo,Good,2176,2705,4,1.0,1976,9.56,5.3,43.1,6.1,7.0,388754.0,465493.0,458574.0
500030,Suburb,Townhome,Good,1081,2168,4,3.0,1953,9.91,8.1,10.4,6.19,9.0,506737.0,514791.0,514198.0
500031,Suburb,House,Fair,1314,5575,3,2.0,1958,0.51,5.9,47.9,6.16,10.0,444544.0,473159.0,457435.0
500032,Suburb,House,Fair,2206,6542,3,2.0,1971,2.66,7.8,42.7,6.28,9.0,706799.0,669617.0,673596.0
500033,Downtown,Townhome,Good,1658,7038,3,2.0,2003,10.83,7.0,8.8,6.58,10.0,598432.0,589440.0,604374.0
500034,Suburb,House,Good,2376,10215,4,1.5,1956,0.3,5.3,54.1,6.53,10.5,568992.0,604622.0,617037.0
500035,Rural,House,Good,3896,22552,4,1.0,1961,10.52,7.9,44.2,6.2,9.0,771008.0,823891.0,846847.0
500036,Suburb,House,Fair,2355,5293,4,2.5,1999,4.99,5.1,47.7,6.39,11.5,608196.0,596852.0,609740.0
500037,Suburb,Townhome,Excellent,2320,4689,3,,2004,4.08,8.9,49.9,5.96,9.0,621433.0,620702.0,620130.0
500038,Downtown,House,Fair,1268,2262,2,1.0,2014,12.77,7.1,38.7,6.7,6.0,499226.0,440600.0,460967.0
500039,University,House,Good,1432,7522,3,2.0,2001,4.89,5.6,29.1,5.93,10.0,521398.0,545559.0,553510.0
500040,Downtown,House,Excellent,1159,10847,2,1.5,2000,3.8,4.5,38.2,7.21,8.5,523727.0,490859.0,512327.0
500041,Suburb,House,Excellent,1504,5560,4,2.5,1979,4.89,9.3,38.5,6.22,9.5,498263.0,583565.0,581145.0
500042,University,House,Good,1140,13199,1,3.0,2011,9.25,9.0,76.8,6.39,8.0,382865.0,407258.0,382778.0
500043,Suburb,Townhome,Good,1421,6619,3,2.5,1998,25.26,5.2,71.4,5.78,10.5,282855.0,358893.0,345225.0
500044,University,Townhome,Good,1714,16131,6,2.5,1975,0.3,9.3,37.6,6.03,12.5,709824.0,647746.0,649640.0
500045,Rural,House,Excellent,1200,7938,3,2.0,1963,8.78,7.2,38.7,6.33,9.0,551886.0,525870.0,532043.0
500046,Rural,House,Good,928,3447,2,3.0,1952,7.46,6.7,49.3,6.24,8.0,265807.0,247284.0,244744.0
500047,Downtown,House,Excellent,965,4436,3,1.0,2022,14.56,6.9,52.8,5.86,8.0,523740.0,469737.0,481141.0
500048,Suburb,Condo,Good,2145,2590,4,2.5,1981,6.69,6.6,34.6,5.54,11.5,717201.0,660020.0,646581.0
500049,Suburb,Condo,Good,1889,2292,3,1.5,2019,0.3,9.0,30.1,6.26,6.5,648520.0,623455.0,615179.0
500050,University,Condo,Excellent,2517,7629,4,,1962,16.78,7.2,72.7,6.32,7.0,521760.0,571776.0,583051.0
500051,Suburb,House,Good,2529,10952,3,2.0,1960,2.39,4.4,60.0,6.56,10.0,536998.0,563167.0,563635.0
500052,Suburb,House,Good,1629,20997,3,2.0,1973,8.52,9.9,22.1,6.97,10.0,424666.0,529906.0,530892.0
500053,,Condo,Good,2286,6288,6,2.5,1965,0.73,8.2,19.0,6.05,12.5,746822.0,802376.0,818523.0
500054,Suburb,House,Good,,5639,3,3.0,1968,2.35,5.5,32.6,5.04,10.0,483776.0,527065.0,539610.0
500055,Suburb,Condo,Good,3334,3341,3,1.0,1955,5.92,6.5,47.8,6.15,6.0,705580.0,708737.0,699444.0
500056,Downtown,House,Good,2627,11754,3,2.0,1963,13.98,5.7,52.6,5.13,9.0,738882.0,723955.0,726173.0
500057,University,House,Good,1710,8210,4,3.5,1960,13.89,7.1,39.7,5.47,9.5,484237.0,548884.0,529114.0
500058,Suburb,Townhome,Fair,1094,4548,4,3.0,2002,5.3,7.6,21.1,6.85,9.0,486130.0,499188.0,498955.0
500059,Waterfront,House,Excellent,2097,9825,4,3.5,2015,11.86,7.3,47.8,6.57,10.5,864259.0,845999.0,850430.0
500060,Suburb,House,Excellent,634,9103,3,2.0,1995,6.64,6.2,53.3,5.85,9.0,389902.0,418678.0,398561.0
500061,Rural,House,Fair,1343,2117,2,1.0,1991,9.53,5.9,44.6,5.85,8.0,380748.0,388022.0,405982.0
500062,Rural,Condo,Excellent,2337,10149,4,1.5,2012,9.78,8.2,37.4,6.18,7.5,450805.0,565854.0,588877.0
500063,Rural,House,Good,1899,7053,3,2.5,2017,12.55,6.9,52.9,5.19,8.5,489653.0,515406.0,521069.0
500064,Downtown,House,Fair,1531,5139,3,3.0,2024,5.19,10.0,43.8,6.52,11.0,541505.0,490164.0,500788.0
500065,Suburb,House,Excellent,2468,,2,1.5,2019,8.06,5.9,28.3,6.02,5.5,591967.0,597321.0,614614.0
500066,Suburb,House,Good,1175,18557,3,2.0,1968,10.15,8.1,45.9,7.33,9.0,289336.0,356514.0,354466.0
500067,Suburb,House,Good,2035,16336,2,2.5,1985,9.39,7.1,25.7,5.6,7.5,526109.0,543577.0,555572.0
500068,Downtown,House,Excellent,1526,19441,3,1.0,2021,4.09,5.9,58.6,6.83,6.0,598002.0,602111.0,606517.0
500069,Waterfront,House,Good,1299,3263,2,2.0,2022,19.11,8.9,51.4,5.83,6.0,599650.0,628364.0,610650.0
500070,Suburb,Condo,Fair,2151,4389,3,3.5,2008,6.09,7.2,30.0,6.84,11.5,543968.0,573401.0,562948.0
500071,Rural,House,Excellent,1205,11191,3,4.0,2009,13.36,5.7,47.6,5.65,10.0,369947.0,426974.0,420409.0
500072,Suburb,Townhome,Good,3086,3148,2,2.0,1992,10.05,6.6,62.8,6.67,8.0,648865.0,686308.0,698665.0
500073,University,Townhome,Excellent,1470,,3,3.5,2023,16.12,8.4,13.3,5.97,9.5,480381.0,540030.0,541163.0
500074,Rural,House,Good,3143,2202,2,1.5,2023,0.3,5.3,42.5,5.74,6.5,855183.0,750395.0,761792.0
500075,Downtown,House,Good,1139,19760,4,1.5,2005,21.06,8.9,68.6,6.14,8.5,380280.0,454206.0,448751.0
500076,University,Condo,Excellent,2244,12298,1,1.0,1988,7.56,8.0,21.9,6.52,6.0,554996.0,616587.0,601826.0
500077,Waterfront,House,Good,1070,8558,3,3.0,1951,1.49,6.6,42.1,6.47,8.0,495208.0,526378.0,550236.0
500078,University,Condo,Good,978,7414,2,2.0,1952,9.6,8.9,23.8,7.18,8.0,272769.0,307613.0,339102.0
500079,Suburb,House,Good,1954,5061,3,4.0,1956,22.29,9.5,43.6,6.72,12.0,566090.0,557292.0,561730.0
500080,Downtown,Condo,Fair,2290,5120,4,2.5,1959,11.84,7.8,9.5,4.66,9.5,574612.0,671772.0,669493.0
500081,Suburb,House,Fair,1022,9405,3,2.5,1971,1.49,7.2,20.8,5.99,7.5,546342.0,530527.0,544268.0
500082,Waterfront,House,Good,2620,4241,3,1.0,1973,6.07,9.6,36.7,5.04,8.0,918761.0,934626.0,921845.0
500083,Suburb,Townhome,Fair,1332,,2,3.5,1970,16.79,9.1,46.6,6.0,8.5,385411.0,489864.0,487471.0
500084,Suburb,House,Good,1935,4837,5,2.0,2002,0.46,5.7,50.1,6.61,12.0,566116.0,532186.0,515628.0
500085,University,Condo,Good,2097,3849,4,2.0,1968,7.75,6.7,50.8,5.43,9.0,450847.0,521171.0,526769.0
500086,Rural,House,Good,2237,14163,4,1.0,1993,7.07,6.7,61.4,5.53,10.0,560823.0,599609.0,602488.0
500087,Suburb,House,Good,681,5962,2,3.0,2009,21.74,6.4,54.8,6.32,9.0,248622.0,290535.0,285908.0
500088,Suburb,House,Good,2902,9068,2,3.0,2001,7.08,4.9,55.4,6.06,10.0,607364.0,713356.0,705857.0
500089,Suburb,House,Good,2215,5067,4,1.5,1954,16.65,8.3,30.2,7.18,8.5,629253.0,660546.0,643020.0
500090,Suburb,House,Good,1573,1685,3,2.0,1951,4.78,7.1,42.3,6.43,7.0,407275.0,487635.0,478105.0
500091,Downtown,Condo,Good,,9026,3,2.5,1990,4.03,7.1,90.0,6.55,7.5,493195.0,450872.0,465111.0
500092,University,House,Good,749,2897,4,3.0,1968,14.81,9.0,77.8,7.28,12.0,255088.0,235225.0,231173.0
500093,Suburb,Condo,Good,965,12443,2,2.0,1950,12.53,6.2,56.7,5.93,7.0,391480.0,389057.0,403636.0
500094,Suburb,Townhome,Excellent,,2563,4,3.5,1992,0.3,6.9,55.4,6.23,12.5,679899.0,758375.0,748382.0
500095,Suburb,Townhome,Good,1628,2123,3,2.0,1963,12.63,7.4,59.1,5.64,9.0,477079.0,481419.0,480505.0
500096,Rural,Townhome,Good,1115,7818,4,1.5,1999,12.65,6.4,38.6,6.39,8.5,220234.0,244551.0,239263.0
500097,Downtown,Condo,Good,1507,,3,2.0,1993,5.16,6.8,73.3,6.85,9.0,545208.0,507089.0,504103.0
500098,Suburb,House,Fair,2867,6930,4,1.0,1982,10.13,8.1,39.0,7.05,10.0,612190.0,652407.0,661328.0
500099,Downtown,Townhome,Excellent,1635,3138,2,1.5,1985,10.42,7.0,43.3,6.21,8.5,572581.0,595276.0,571575.0
500100,Downtown,House,Good,1470,11078,4,3.0,1966,5.92,8.9,76.5,5.81,9.0,592859.0,609580.0,618163.0
500101,Waterfront,Condo,Fair,2728,2699,4,2.5,1959,5.33,5.9,14.0,5.78,8.5,868189.0,848068.0,856119.0
500102,Rural,Townhome,Good,2150,4920,4,1.5,1973,4.81,7.3,49.9,5.4,7.5,624447.0,576025.0,576079.0
500103,Suburb,Condo,Excellent,1879,4051,4,2.5,1967,7.19,5.0,19.2,6.31,11.5,582153.0,641578.0,642487.0
500104,Suburb,House,Good,1455,,4,1.0,2007,0.89,6.8,34.9,7.05,8.0,546790.0,519116.0,516591.0
500105,University,House,Excellent,841,10842,1,2.0,2011,8.56,6.0,43.2,4.82,5.0,412272.0,411587.0,419611.0
500106,Suburb,House,Fair,1089,4443,4,2.5,2004,0.3,8.9,39.4,4.93,8.5,425951.0,468157.0,468854.0
500107,Suburb,House,Good,1538,9120,3,,1977,9.25,8.0,47.1,7.07,10.5,481234.0,442834.0,433072.0
500108,Rural,House,Good,1707,9858,3,1.5,1968,8.3,7.7,33.2,5.27,6.5,399721.0,429342.0,431123.0
500109,Suburb,House,Excellent,2082,2328,3,3.0,2024,2.63,9.6,43.0,6.43,8.0,709137.0,772781.0,783828.0
500110,Suburb,Condo,Good,2209,,2,3.5,2022,13.88,9.0,27.1,5.48,8.5,631546.0,653154.0,657458.0
500111,Rural,Townhome,Good,1995,5164,3,2.0,2012,20.34,8.0,38.8,6.7,7.0,365432.0,387502.0,387871.0
500112,University,House,Good,1993,4556,4,2.5,1953,16.7,6.0,24.1,6.7,11.5,510879.0,495601.0,497994.0
500113,Downtown,House,Good,1195,7818,5,1.0,1992,0.66,5.0,54.2,6.34,11.0,450999.0,425020.0,419329.0
500114,Waterfront,House,Good,450,2040,3,1.0,1967,16.39,7.0,25.4,6.73,8.0,201662.0,171890.0,166602.0
500115,Downtown,House,Excellent,1511,10016,2,2.5,1958,10.1,6.5,54.8,6.27,7.5,630590.0,619516.0,597804.0
500116,Rural,House,Excellent,1230,10161,5,2.0,1983,8.49,6.1,38.4,6.57,12.0,567736.0,501885.0,499796.0
500117,University,House,Good,1426,5876,2,2.5,2020,5.25,6.6,40.1,7.33,6.5,389958.0,370281.0,381672.0
500118,Downtown,House,Excellent,1672,2835,5,1.5,2011,8.76,4.7,62.0,6.9,10.5,508643.0,514940.0,510476.0
500119,Suburb,House,Fair,1042,6522,3,2.0,1972,17.07,9.1,46.2,5.84,10.0,365936.0,369551.0,359133.0
500120,University,House,Good,1128,4708,2,3.0,1992,12.04,5.4,16.5,5.76,8.0,359426.0,401731.0,412102.0
500121,Downtown,Condo,Good,1785,9132,4,3.5,2022,6.33,6.1,51.9,6.1,11.5,530994.0,552520.0,554441.0
500122,Rural,House,Good,1925,6175,5,2.0,2001,4.81,7.8,5.0,6.1,9.0,537188.0,584503.0,586167.0
500123,University,House,Good,1424,10062,2,1.0,1979,6.32,4.7,48.5,6.28,6.0,476701.0,395755.0,401218.0
500124,Suburb,House,Good,2174,5012,5,3.0,2022,12.29,8.3,38.6,5.88,10.0,604007.0,630631.0,638711.0
500125,Rural,Townhome,Excellent,,,3,2.5,1986,19.91,8.3,23.8,6.63,10.5,498789.0,503196.0,502734.0
500126,Suburb,House,Fair,1187,1631,5,2.5,1977,2.5,6.6,45.7,6.26,12.5,425532.0,426872.0,417319.0
500127,Suburb,Condo,Good,1876,3533,3,2.5,1999,8.78,5.5,40.0,6.46,10.5,437079.0,476010.0,496081.0
500128,Suburb,House,Good,3074,8726,2,4.0,1963,6.5,6.3,74.3,6.24,10.0,748814.0,732092.0,732774.0
500129,Downtown,Townhome,Excellent,1411,2625,4,2.0,1955,4.31,4.4,38.1,6.61,8.0,428936.0,446461.0,437601.0
500130,Suburb,House,Good,,10108,4,2.5,1981,11.16,9.0,73.3,5.52,10.5,749863.0,777807.0,779969.0
500131,Waterfront,House,Excellent,2746,3132,5,1.0,1956,12.08,7.1,65.1,7.19,10.0,775856.0,778015.0,791764.0
500132,Suburb,Townhome,Fair,2824,6874,5,1.5,1992,0.36,6.0,35.5,6.45,11.5,630156.0,727276.0,711021.0
500133,,Condo,Good,1315,3754,4,1.5,2007,2.63,5.7,32.4,6.51,10.5,503205.0,478362.0,493460.0
500134,Suburb,House,Good,3160,4988,3,2.0,1960,15.9,7.8,64.1,6.61,9.0,751008.0,712768.0,711242.0
500135,Waterfront,House,Good,1926,7218,3,2.5,1958,10.68,9.1,42.5,6.89,10.5,727196.0,733156.0,756131.0
500136,Suburb,Townhome,Excellent,1685,,3,1.5,1952,11.9,5.2,46.9,6.68,7.5,480967.0,549379.0,557079.0
500137,Waterfront,House,Excellent,1700,5171,2,3.5,1954,5.81,6.2,40.8,6.38,8.5,670704.0,677250.0,676074.0
500138,Suburb,House,Good,2241,23657,3,1.5,2005,6.53,4.5,26.6,6.13,9.5,615308.0,637641.0,652089.0
500139,Suburb,Townhome,Good,1883,6533,1,2.0,1995,11.52,8.0,39.0,5.26,6.0,576106.0,576682.0,591343.0
500140,University,House,Good,1735,3632,3,2.5,2025,5.84,7.2,30.3,6.37,9.5,548826.0,530750.0,526764.0
500141,Rural,House,Good,2684,11340,3,1.0,1961,2.19,10.0,21.8,6.06,7.0,682964.0,681841.0,684561.0
500142,Suburb,House,Good,1380,10636,6,2.5,2020,8.8,6.8,40.2,6.06,10.5,593749.0,593069.0,587190.0
500143,Suburb,House,Excellent,1172,13539,4,2.5,2009,14.18,6.4,71.1,7.69,11.5,377507.0,355163.0,365743.0
500144,University,House,,2366,18995,3,2.0,1978,2.67,6.0,68.6,5.13,10.0,693294.0,628816.0,612719.0
500145,Suburb,House,Excellent,2307,3700,4,3.5,1997,15.08,8.2,43.6,6.28,11.5,739712.0,675880.0,673898.0
500146,Waterfront,House,Fair,2561,12274,2,2.0,1984,12.97,4.7,46.6,6.97,7.0,608921.0,741882.0,717483.0
500147,Downtown,House,Fair,1153,12879,3,2.5,1952,3.66,8.1,52.2,6.82,7.5,430368.0,455590.0,462401.0
500148,Suburb,Condo,Good,2553,6501,1,1.5,2012,8.84,7.4,64.8,6.99,7.5,540331.0,576571.0,551064.0
500149,Suburb,Condo,Good,2163,7530,5,1.0,1955,8.55,6.3,49.3,5.48,10.0,529481.0,584016.0,571931.0
500150,Waterfront,House,Good,2996,1073,4,1.5,2024,12.56,5.7,37.4,5.67,10.5,948622.0,957292.0,960370.0
500151,,House,Good,1039,4606,2,2.0,2015,12.76,8.5,38.7,6.62,6.0,390691.0,425008.0,421013.0
500152,University,House,Fair,1992,19003,3,2.0,1977,1.05,9.6,61.4,6.07,10.0,605441.0,674548.0,669504.0
500153,Rural,Condo,Good,1670,2225,4,3.0,2021,0.78,6.4,83.3,7.27,12.0,358065.0,369483.0,358452.0
500154,Rural,House,Good,817,4713,4,1.0,2022,14.91,7.8,35.2,6.38,7.0,402496.0,383503.0,378191.0
500155,Rural,Condo,Fair,1385,7726,4,1.5,1958,9.47,9.5,14.0,6.36,9.5,379667.0,369131.0,349091.0
